url,n_hyperlinks,null_p_ratio,external_l_ratio,p_data_forms,html_length,n_script_tag,n_link_tag,n_comment_tag,ext_res_ratio,favicon_used,int_form_act_ratio,abn_form_act_ratio,ext_form_act_ratio,title_tag,title_url_brand,result_flag
http://app-royalmail.com/LOGIN/,13,0.85,0.0,1,14324,0,4,1,0.2,0,0.5,0.0,0.0,1,0,1
https://duringcowdeqpt.com/uploads/NFCUWelcome/Summary/,20,0.0,0.95,1,17790,21,7,21,0.31,0,0.5,0.0,0.0,1,0,1
https://followersltd.000webhostapp.com/index.html/,1,0.0,1.0,0,14248,9,8,14,0.06,1,0,0,0,1,0,1
https://pay-pal-end-to-end-encryption-log.000webhostapp.com/,13,0.38,0.0,1,102147,11,4,4,1.0,0,1.0,0.0,0.0,1,0,1
https://mizelle-johnson.com/ivrlb/VR/Login.html,241,0.0,0.0,1,155027,1,5,0,0.0,1,1.0,0.0,0.0,0,0,1
http://steamstore.ning.tel/,391,0.0,0.34,1,516962,25,11,13,0.98,1,1.0,0.0,0.0,1,0,1
https://czech-post-esk-pota-93ef47.ingress-erytho.easywp.com/page/ceskaposta-edited/NV6588123/,4,0.5,0.5,1,18501,1,5,15,0.0,1,1.0,0.0,0.0,1,0,1
https://discocrd.gifts/QK8WQq9H68HYfs72,0,0,0,1,86713,1,2,3,0.25,1,0.0,0.0,0.0,1,0,1
http://material-pubgmobile.org/,0,0,0,1,8402,7,7,12,0.3,0,1.0,0.0,0.0,1,0,1
https://officesecuredocument.officesecureone.repl.co/,4,1.0,0.0,0,261183,8,2,13,0.92,0,0.0,0.0,0.0,1,0,1
http://hamc.org.in/himalayan/source/himkalp/009874-8575756-7565746-875646001/REF-34983739847928472-43243243248E32/REF-323162187936128732173863-321312892381/f5637e8c982d25252419b1ad83b9bc8b/,252,0.94,0.02,0,103329,11,6,17,0.0,1,0.33,0.67,0.0,0,0,1
http://steqmcpmmynity.000webhostapp.com/,78,0.01,0.65,1,44890,17,10,4,0.03,1,0.0,0.33,0.0,1,0,1
http://loginmailorangewebmail.moonfruit.com/,5,0.0,0.6,1,82746,26,7,0,0.31,1,0.0,0.0,0.0,1,0,1
https://sites.google.com/view/aselok,0,0,0,0,37009,11,4,0,1.0,0,0,0,0,1,0,1
https://u.to/oCauGw?Confirmation-Facebook-Help,0,0,0,0,8652,4,2,0,0.5,1,1.0,0.0,0.0,1,0,1
http://ogarnac.pl/kazdy/,131,0.0,0.97,1,183638,79,25,39,0.49,0,0.0,0.0,0.0,0,0,1
https://sec01mtbver.gotdns.ch/M&T/login.php?online_id=427d782391056de8b58bafa2c&country=United+States&iso=US,16,0.0,0.69,1,12346,7,2,0,0.55,0,1.0,0.0,0.0,0,0,1
http://vps57167.inmotionhosting.com/~pombe/homee/zyu/adobe/source/index.php?email=markus.jaspers@krone.de,0,0,0,0,82584,6,1,3,0.33,0,1.0,0.0,0.0,1,0,1
https://raptipress.com/wp-content/themes/24/mufg.jp/c550e939e01525dfc95871ced31c127b/login.php,12,0.75,0.25,1,45737,23,9,6,0.12,0,1.0,0.0,0.0,1,0,1
https://nen1mo003.000webhostapp.com/login.html,0,0,0,0,8600,4,2,0,0.57,1,1.0,0.0,0.0,1,0,1
http://m.panda-tv.store.aptoide.com/,70,0.01,0.46,1,55728,16,31,10,0.98,1,0.0,0.0,1.0,1,1,1
http://claim-diamond-gratis756.codash0p.com/,30,0.03,0.37,1,46152,23,21,10,0.9,0,1.0,0.0,0.0,1,0,1
http://mysection-mysettings.ml/verification/3N16EC4NA7NND44434N8,2,0.0,0.5,0,9643,0,0,0,0.0,1,0,0,0,1,0,1
https://synccheckingin.weebly.com/,1,0.0,0.0,1,26667,24,8,2,0.14,0,1.0,0.0,0.0,1,0,1
https://dhl-greetings.com/,16,0.06,0.25,1,11641,14,11,9,0.04,1,1.0,0.0,0.0,1,0,1
http://freefire27thang3.com/,3,0.0,0.0,1,14485,5,2,3,0.0,1,0.0,0.0,0.0,1,0,1
https://fra1.digitaloceanspaces.com/organizationkeep/Micro.html,6,1.0,0.0,1,18008,8,2,6,1.0,0,0.0,0.0,0.0,0,0,1
http://trail.tmr.asia/api/t/c/usr_agM7zqPAoPaMWpPXo/tsk_anzAWvE3ookgbdE6u/enc_U2FsdGVkX18NcedICsGw2OAwKbJ1pe5JvqVLygt8jVPp5xqzrNzw8dI3l03YiudOfYfroQeDDD3nUbyOBdz-oQ==,1,1.0,0.0,1,63431,66,19,0,0.25,0,1.0,0.0,0.0,0,0,1
http://endesarrollo.holacliente.com/alaskaausa_org,4,0.25,0.5,1,76057,32,13,2,0.55,0,1.0,0.0,0.0,1,0,1
https://q3998.com/,66,0.03,0.03,0,61477,24,7,11,0.43,0,0,0,0,1,0,1
http://sync-quick.org/,22,0.41,0.18,0,11036,0,3,26,0.0,1,0,0,0,1,0,1
http://725865102777075249.eu-gb.cf.appdomain.cloud/?3381278348875249824mzw6hguoe3381278348875249824=https&9030037784=2u,0,0,0,1,222214,8,1,0,0.0,1,0.0,0.0,0.5,1,0,1
http://soehokgiec3.com/,0,0,0,1,9868,8,7,14,0.48,0,1.0,0.0,0.0,1,0,1
http://informationsupportpagesrecovery.co.vu/,0,0,0,1,2959,6,4,0,0.33,1,1.0,0.0,0.0,1,0,1
https://deejaydesignz.co.za/okok/?pwd=nab,0,0,0,1,9177,6,4,10,0.5,1,1.0,0.0,0.0,1,0,1
https://minyakhabis.000webhostapp.com/cmosts.html,0,0,0,0,14128,5,2,0,0.67,1,1.0,0.0,0.0,1,0,1
https://www3.ml.meiceaord.com/,43,0.0,0.86,0,20092,31,7,12,0.15,0,1.0,0.0,0.0,1,0,1
https://26653577.com:8989/,96,0.21,0.11,1,324008,33,9,32,0.63,0,0.0,0.0,0.0,1,0,1
https://178-62-213-188.cprapid.com/pi/app.php?ver=10&ServerID=AwmqqSHWJmNudmZENAjuI,16,0.56,0.25,1,47480,38,6,14,0.22,0,1.0,0.0,0.0,1,0,1
https://m.newcreationambassadom.ervlces.runescape.com-fe.ru/login_up.php?success_redirect_url=%2F,1,0.0,1.0,0,8717,4,0,0,0.5,0,0,0,0,0,0,1
